_season,_player_id,_player,_team,_conference,_category,_stat_type,_stat,discriminator
,517186,Nick Sherry,UNLV,Mountain West,passing,TD,16.0,
,385721,Desmond Johnson,Southern Mississippi,Conference USA,rushing,TD,3.0,
,487837,Jackson Rice,Oregon,Pac-12,punting,NO,51.0,
,481443,Fitzgerald Toussaint,Michigan,Big Ten,receiving,YPR,10.3,
,480824,Mitch Ewald,Indiana,Big Ten,kicking,FGA,20.0,
,504322,Rajion Neal,Tennessee,SEC,rushing,CAR,156.0,
,502341,Tony Miliano,Cincinnati,Big East,kicking,XPA,53.0,
,382178,Timothy Wright,Rutgers,Big East,passing,COMPLETIONS,0.0,
,380712,Johnathan Franklin,UCLA,Pac-12,receiving,YPR,9.8,
,501173,Bryan Underwood,NC State,ACC,receiving,REC,44.0,
,517612,Jarrett Grace,Notre Dame,FBS Independents,kickReturns,AVG,12.0,
,503760,Devon Hughes,Buffalo,Mid-American,rushing,TD,0.0,
,476232,Ryan Schlothauer,Maryland,ACC,kickReturns,YDS,3.0,
,378384,Kelly Page,Ball State,Mid-American,passing,YDS,178.0,
,378147,Ryan Katz,San Diego State,Mountain West,punting,YDS,29.0,
,387579,Andrew Shapiro,Fresno State,Mountain West,rushing,YPC,23.0,
,500923,Thomas Rees,Notre Dame,FBS Independents,passing,YPA,7.4,
,530704,Andre Sims Jr.,Michigan State,Big Ten,puntReturns,YDS,92.0,
,514580,Kyler Fackrell,Utah State,Western Athletic,interceptions,TD,0.0,
,480253,David Oku,Arkansas State,Sun Belt,rushing,TD,16.0,
,511448,Ifo Ekpre-Olomu,Oregon,Pac-12,interceptions,TD,1.0,
,512075,Silverberry Mouhon,Cincinnati,Big East,receiving,YDS,16.0,
,480265,Morgan Newton,Kentucky,SEC,passing,TD,1.0,
,516974,Solomon Dixon,Idaho,Western Athletic,interceptions,AVG,5.7,
,480766,Xavier Rhodes,Florida State,ACC,interceptions,TD,0.0,
,500833,Kevonte Martin-Manley,Iowa,Big Ten,rushing,YDS,15.0,
,512838,Braxton Miller,Ohio State,Big Ten,passing,INT,6.0,
,504780,Connor Hamlett,Oregon State,Pac-12,receiving,TD,3.0,
,500863,Jonathan Krause,Vanderbilt,SEC,receiving,YPR,7.7,
,535765,Ken Crawley,Colorado,Pac-12,puntReturns,AVG,6.8,
,482270,Fred Lee,Buffalo,Mid-American,receiving,REC,17.0,
,480798,Bradley McDougald,Kansas,Big 12,puntReturns,YDS,39.0,
,504747,Ben Butterfield,Oregon,Pac-12,receiving,TD,0.0,
,482210,Robert Clay,New Mexico State,Western Athletic,receiving,YDS,38.0,
,518139,Dustin Garrison,West Virginia,Big 12,rushing,YPC,4.5,
,536005,Brian Vaughn,UT San Antonio,Western Athletic,rushing,CAR,8.0,
,538156,Fredi Knighten,Arkansas State,Sun Belt,rushing,YDS,96.0,
,480210,Aaron Murray,Georgia,SEC,rushing,CAR,59.0,
,482674,Jeremy Shelley,Alabama,SEC,kicking,XPM,69.0,
,512690,Montrel Carter,Louisiana,Sun Belt,rushing,LONG,9.0,
,513614,Joe Licata,Buffalo,Mid-American,passing,PCT,0.528,
,532661,Daniel Braverman,Western Michigan,Mid-American,kickReturns,TD,0.0,
,483439,Zac Stacy,Vanderbilt,SEC,puntReturns,NO,1.0,
,517445,Darrian Miller,Kentucky,SEC,rushing,TD,0.0,
,502307,Taylor Mack,Connecticut,Big East,kickReturns,TD,0.0,
,530869,Pharaoh Brown,Oregon,Pac-12,receiving,YPR,21.0,
,382742,Sylvester Hemphill,Mississippi State,SEC,receiving,YPR,6.7,
,506068,Daniel Dyer,Virginia Tech,ACC,rushing,TD,0.0,
,531451,Saylor Lavallii,Central Michigan,Mid-American,rushing,CAR,57.0,
,534765,Carlos Mendoza,Arizona State,Pac-12,interceptions,INT,2.0,
,514157,Conner Floyd,Tulsa,Conference USA,puntReturns,NO,4.0,
,481158,Colin Lockett,San Diego State,Mountain West,rushing,LONG,16.0,
,505663,Jake Medlock,Florida International,Sun Belt,receiving,TD,0.0,
,481228,T.O. Owens,Toledo,Mid-American,passing,INT,8.0,
,503343,Zach Zwinak,Penn State,Big Ten,receiving,REC,20.0,
,504635,Dwight Macon,Toledo,Mid-American,puntReturns,TD,0.0,
,481701,Kyler Elsworth,Michigan State,Big Ten,kickReturns,LONG,17.0,
,500514,Kalen Henderson,Tulsa,Conference USA,passing,TD,1.0,
,506998,Anthony LaCoste,Air Force,Mountain West,rushing,YDS,15.0,
,531592,Marcus Henry,Middle Tennessee,Sun Belt,receiving,LONG,75.0,
,384496,Sidney Saulter,Kent State,Mid-American,interceptions,AVG,0.0,
,384918,Melvin White,Louisiana,Sun Belt,receiving,LONG,25.0,
,535970,Marcus Hendricks,Air Force,Mountain West,receiving,TD,2.0,
,516336,Norkeithus Otis,North Carolina,ACC,kickReturns,TD,0.0,
,503861,Barry Brunetti,Ole Miss,SEC,rushing,LONG,29.0,
,501033,Matt Joeckel,Texas A&M,SEC,rushing,LONG,1.0,
,534249,Stefon Diggs,Maryland,ACC,receiving,YPR,15.7,
,382736,Arceto Clark,Mississippi State,SEC,receiving,REC,36.0,
,480655,Scott Fernandez,Colorado,Pac-12,kickReturns,NO,1.0,
,500929,Daniel Smith,Notre Dame,FBS Independents,receiving,YDS,47.0,
,481645,Michael Campanaro,Wake Forest,ACC,puntReturns,TD,0.0,
,480692,Deon Broomfield,Iowa State,Big 12,interceptions,INT,2.0,
,480688,Jeremy Reeves,Iowa State,Big 12,interceptions,TD,1.0,
,534271,Sam Benjamin,Temple,Big East,receiving,REC,2.0,
,533206,Marquis Bundy,New Mexico,Mountain West,rushing,LONG,6.0,
,511471,Michael Balfour,Oregon State,Pac-12,rushing,LONG,4.0,
,481645,Michael Campanaro,Wake Forest,ACC,receiving,LONG,41.0,
,503430,Taylor Cook,Rice,Conference USA,punting,YDS,1419.0,
,484100,Robbie Rouse,Fresno State,Mountain West,receiving,TD,2.0,
,502791,Blake Jablonski,Kansas,Big 12,passing,PCT,1.0,
,514833,Derrick Harris,East Carolina,Conference USA,receiving,TD,0.0,
,518343,Miles Shuler,Rutgers,Big East,kickReturns,TD,0.0,
,504635,Dwight Macon,Toledo,Mid-American,puntReturns,AVG,-1.0,
,514158,Keyarris Garrett,Tulsa,Conference USA,receiving,YPR,12.6,
,512039,Darius Slay,Mississippi State,SEC,interceptions,TD,1.0,
,503432,Jeremy Eddington,Rice,Conference USA,rushing,YDS,201.0,
,513362,Eric Boyden,Western Michigan,Mid-American,receiving,YPR,3.0,
,517574,Matt Goudis,Miami,ACC,punting,LONG,37.0,
,512167,Amarlo Herrera,Georgia,SEC,interceptions,AVG,35.0,
,512787,Travaughn Colwell,New Mexico State,Western Athletic,rushing,YPC,4.5,
,487879,Martin Hyppolite,Connecticut,Big East,rushing,LONG,50.0,
,513592,Brian Schmiedebusch,Bowling Green,Mid-American,rushing,YPC,8.0,
,482048,Zurlon Tipton,Central Michigan,Mid-American,receiving,LONG,37.0,
,534240,Shaun Wick,Wyoming,Mountain West,receiving,TD,0.0,
,481477,Anthony Talbert,NC State,ACC,receiving,TD,0.0,
,531165,James Baker,Idaho,Western Athletic,receiving,YPR,9.5,
,532641,Jaime Wilson,Western Michigan,Mid-American,passing,INT,0.0,
,504870,Tyree Robinson,Western Kentucky,Sun Belt,kickReturns,LONG,51.0,
,500217,Shawn Green,Georgia Tech,ACC,interceptions,INT,1.0,
,482164,Brandon McManus,Temple,Big East,kicking,LONG,50.0,
,504231,Jeff Scott,Ole Miss,SEC,receiving,YPR,7.7,
,385686,R.P. Stuart,Louisiana Tech,Western Athletic,kickReturns,YDS,30.0,
,505232,Brandin Byrd,North Texas,Sun Belt,rushing,CAR,205.0,
,482901,Damian Copeland,Louisville,Big East,rushing,LONG,3.0,
,517826,Kristian Stern,UT San Antonio,Western Athletic,punting,YPP,39.7,
,503611,Shawn Lynch,Navy,FBS Independents,rushing,LONG,1.0,
,514747,Christopher Dunkley,South Florida,Big East,receiving,YDS,93.0,
,515951,Mike Blakely,Auburn,SEC,rushing,TD,0.0,
,537388,Jeremé Jones,South Alabama,Sun Belt,rushing,CAR,1.0,
,512979,Demarius Reed,Eastern Michigan,Mid-American,puntReturns,YDS,72.0,
,502297,Reuben Frank,Connecticut,Big East,receiving,TD,0.0,
,535772,Vincent Hobbs,Colorado,Pac-12,receiving,YDS,153.0,
,532092,Cordarrelle Patterson,Tennessee,SEC,receiving,YPR,16.9,
,521247,Damian Payne,Houston,Conference USA,kickReturns,YDS,42.0,
,500465,Tony Jones,Colorado,Pac-12,rushing,LONG,84.0,
,384895,Dalton Williams,Akron,Mid-American,rushing,YPC,-4.3,
,505217,Darius Lively,Louisiana Monroe,Sun Belt,interceptions,YDS,6.0,
,537718,Bill Chimphalee,Oregon,Pac-12,rushing,YPC,2.7,
,383478,Jahleel Addae,Central Michigan,Mid-American,interceptions,TD,0.0,
,531230,Deante Gray,TCU,Big 12,puntReturns,LONG,70.0,
